0, 0, 0
10, 10, 0
2, 2, 0
2.70711, 2.70711, 0

0, 0, 0
10, 10, 0
2.5, 2.5, 0
3.20711, 3.20711, 0

0, 0, 0
10, 10, 0
3, 3, 0
3.70711, 3.70711, 0

0, 0, 0
10, 10, 0
3.5, 3.5, 0
4.20711, 4.20711, 0

0, 0, 0
10, 10, 0
4, 4, 0
4.70711, 4.70711, 0

0, 0, 0
10, 10, 0
4.5, 4.5, 0
5.20711, 5.20711, 0

0, 0, 0
10, 10, 0
5, 5, 0
5.70711, 5.70711, 0

0, 0, 0
10, 10, 0
5.5, 5.5, 0
6.20711, 6.20711, 0

0, 0, 0
10, 10, 0
6, 6, 0
6.70711, 6.70711, 0

0, 0, 0
10, 10, 0
6.5, 6.5, 0
7.20711, 7.20711, 0

0, 0, 0
10, 10, 0
7, 7, 0
7.70711, 7.70711, 0

0, 0, 0
10, 10, 0
7.5, 7.5, 0
8.20711, 8.20711, 0

0, 0, 0
10, 10, 0
8, 8, 0
8.70711, 8.70711, 0

0, 0, 0
10, 10, 0
8.5, 8.5, 0
9.20711, 9.20711, 0

0, 0, 0
10, 10, 0
9, 9, 0
9.70711, 9.70711, 0

0, 0, 0
10, 10, 0
9.5, 9.5, 0
10.2071, 10.2071, 0

10, 10, 0
15, 15, 0
10, 10, 0
10.7071, 10.7071, 0

10, 10, 0
15, 15, 0
10.5, 10.5, 0
11.2071, 11.2071, 0

10, 10, 0
15, 15, 0
11, 11, 0
11.7071, 11.7071, 0

10, 10, 0
15, 15, 0
11.5, 11.5, 0
12.2071, 12.2071, 0

10, 10, 0
15, 15, 0
12, 12, 0
12.7071, 12.7071, 0

10, 10, 0
15, 15, 0
12.5, 12.5, 0
13.2071, 13.2071, 0

10, 10, 0
15, 15, 0
13, 13, 0
13.7071, 13.7071, 0

10, 10, 0
15, 15, 0
13.5, 13.5, 0
14.2071, 14.2071, 0

10, 10, 0
15, 15, 0
14, 14, 0
14.7071, 14.7071, 0

10, 10, 0
15, 15, 0
14.5, 14.5, 0
15.2071, 15.2071, 0

10, 10, 0
15, 15, 0
15, 15, 0
15.2071, 15.2071, 0

10, 10, 0
15, 15, 0
15.5, 15.5, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
16, 16, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
16.5, 16.5, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
17, 17, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
17.5, 17.5, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
18, 18, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
18.5, 18.5, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
19, 19, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
19.5, 19.5, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
20, 20, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
20.5, 20.5, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
21, 21, 0
15.7071, 15.7071, 0

10, 10, 0
15, 15, 0
21.5, 21.5, 0
15.7071, 15.7071, 0

